,Store ID,City,State,Sales Region,New Expansion,Marketing Spend,Revenue,ROI,Profit,ROMS,ROMS%
61,62,Simi Valley,California,Region 2,Old,2792,41110,1472.42,38318,1372.42,13.724200000000002
62,63,Richmond,California,Region 2,Old,3924,19448,495.62,15524,395.62,3.9562
63,64,Little Rock,Arkansas,Region 2,Old,2440,68828,2820.82,66388,2720.82,27.2082
64,65,El Cajon,California,Region 2,Old,2950,19529,662.0,16579,562.0,5.62
65,66,Santa Clara,California,Region 2,Old,2462,29008,1178.23,26546,1078.23,10.7823
66,67,Oceanside,California,Region 2,Old,3084,55684,1805.58,52600,1705.58,17.055799999999998
67,68,Davie,Florida,Region 1,Old,3177,45418,1429.59,42241,1329.59,13.2959
68,69,Lakeland,Florida,Region 1,Old,3003,18297,609.29,15294,509.29,5.0929
69,70,Centennial,Colorado,Region 2,Old,3697,18966,513.01,15269,413.01,4.1301
70,71,Lowell,Massachusetts,Region 1,Old,2857,18838,659.36,15981,559.36,5.5936
71,72,Ontario,California,Region 2,Old,3168,52078,1643.88,48910,1543.88,15.4388
72,73,Palm Bay,Florida,Region 1,Old,2943,25321,860.38,22378,760.38,7.6038
73,74,Murfreesboro,Tennessee,Region 2,Old,2777,40545,1460.03,37768,1360.03,13.600299999999999
74,75,Vancouver,Washington,Region 2,Old,3329,58951,1770.83,55622,1670.83,16.708299999999998
75,76,Topeka,Kansas,Region 2,Old,2854,40921,1433.81,38067,1333.81,13.338099999999999
76,77,West Valley City,Utah,Region 2,Old,2555,49609,1941.64,47054,1841.64,18.4164
77,78,New Haven,Connecticut,Region 1,Old,3162,45550,1440.54,42388,1340.54,13.4054
78,79,Pueblo,Colorado,Region 2,Old,2928,19563,668.14,16635,568.14,5.6814
79,80,Costa Mesa,California,Region 2,Old,2275,41361,1818.07,39086,1718.07,17.180699999999998
80,81,Garden Grove,California,Region 2,Old,3285,57530,1751.29,54245,1651.29,16.5129
81,82,Fort Lauderdale,Florida,Region 1,Old,3217,54768,1702.46,51551,1602.46,16.0246
82,83,North Charleston,South Carolina,Region 1,Old,3115,18754,602.05,15639,502.05,5.0205
83,84,Cambridge,Massachusetts,Region 1,Old,2779,21286,765.96,18507,665.96,6.6596
84,85,Greeley,Colorado,Region 2,Old,3277,48796,1489.04,45519,1389.04,13.8904
85,86,Gresham,Oregon,Region 2,Old,2745,19708,717.96,16963,617.96,6.179600000000001
86,87,Amarillo,Texas,Region 2,Old,3984,56089,1407.86,52105,1307.86,13.0786
87,88,High Point,North Carolina,Region 1,Old,3262,19752,605.52,16490,505.52,5.0552
88,89,Vista,California,Region 2,Old,2718,20949,770.75,18231,670.75,6.7075
89,90,Tacoma,Washington,Region 2,Old,2552,45666,1789.42,43114,1689.42,16.8942
90,91,Mesquite,Texas,Region 2,Old,3072,40779,1327.44,37707,1227.44,12.2744
91,92,Augusta,Georgia,Region 1,Old,2676,47482,1774.36,44806,1674.36,16.7436
92,93,Elgin,Illinois,Region 1,Old,2553,18215,713.47,15662,613.47,6.1347000000000005
93,94,Aurora,Illinois,Region 1,Old,2685,50650,1886.41,47965,1786.41,17.8641
94,95,Gainesville,Florida,Region 1,Old,2990,48933,1636.56,45943,1536.56,15.365599999999999
95,96,Dayton,Ohio,Region 1,Old,2805,42026,1498.25,39221,1398.25,13.9825
96,97,Wichita Falls,Texas,Region 2,Old,2846,15735,552.88,12889,452.88,4.5288
97,98,Naperville,Illinois,Region 1,Old,2699,39856,1476.7,37157,1376.7,13.767000000000001
98,99,Clovis,California,Region 2,Old,2901,20669,712.48,17768,612.48,6.1248000000000005
99,100,Billings,Montana,Region 1,Old,3015,20541,681.29,17526,581.29,5.8129
100,101,Surprise,Arizona,Region 2,Old,2160,33647,1557.73,31487,1457.73,14.577300000000001
101,102,Coral Springs,Florida,Region 1,Old,3079,41319,1341.96,38240,1241.96,12.4196
102,103,Visalia,California,Region 2,Old,2104,45632,2168.82,43528,2068.82,20.688200000000002
103,104,Killeen,Texas,Region 2,Old,2962,43773,1477.82,40811,1377.82,13.7782
104,105,Orange,California,Region 2,Old,2830,36821,1301.1,33991,1201.1,12.011
105,106,Richardson,Texas,Region 2,Old,3228,22824,707.06,19596,607.06,6.0706
106,107,South Bend,Indiana,Region 1,Old,3005,21953,730.55,18948,630.55,6.305499999999999
107,108,Fayetteville,North Carolina,Region 1,Old,3020,51229,1696.32,48209,1596.32,15.963199999999999
108,109,Sioux Falls,South Dakota,Region 1,Old,2947,50583,1716.42,47636,1616.42,16.1642
109,110,Grand Prairie,Texas,Region 2,Old,3131,50895,1625.52,47764,1525.52,15.2552
110,111,Stamford,Connecticut,Region 1,Old,2901,46503,1603.0,43602,1503.0,15.03
111,112,West Palm Beach,Florida,Region 1,Old,2926,18089,618.22,15163,518.22,5.1822
112,113,Knoxville,Tennessee,Region 2,Old,3086,56504,1830.98,53418,1730.98,17.3098
113,114,Renton,Washington,Region 2,Old,2754,44635,1620.73,41881,1520.73,15.2073
114,115,McAllen,Texas,Region 2,Old,2282,43924,1924.8,41642,1824.8,18.248
115,116,Woodbridge,New Jersey,Region 1,Old,3319,19811,596.9,16492,496.9,4.968999999999999
116,117,Shreveport,Louisiana,Region 1,Old,3081,56140,1822.14,53059,1722.14,17.221400000000003
117,118,Bellevue,Washington,Region 2,Old,2542,40462,1591.74,37920,1491.74,14.9174
118,119,Huntington Beach,California,Region 2,Old,2527,54145,2142.66,51618,2042.66,20.4266
119,120,Santa Clarita,California,Region 2,Old,2967,51882,1748.63,48915,1648.63,16.4863
120,121,Sterling Heights,Michigan,Region 1,Old,2357,35022,1485.87,32665,1385.87,13.858699999999999
121,122,Mobile,Alabama,Region 1,Old,2838,49290,1736.79,46452,1636.79,16.3679
122,123,Bridgeport,Connecticut,Region 1,Old,2914,47108,1616.61,44194,1516.61,15.166099999999998
123,124,Daly City,California,Region 2,Old,2658,20703,778.89,18045,678.89,6.7889
124,125,Rochester,Minnesota,Region 1,Old,2854,18099,634.16,15245,534.16,5.3416
125,126,Sandy Springs,Georgia,Region 1,Old,2759,18942,686.55,16183,586.55,5.8655
126,127,Cedar Rapids,Iowa,Region 1,Old,2553,52072,2039.64,49519,1939.64,19.3964
127,128,Columbus,Georgia,Region 1,Old,2877,55203,1918.77,52326,1818.77,18.1877
128,129,Moreno Valley,California,Region 2,Old,3507,59254,1689.59,55747,1589.59,15.8959
129,130,Pompano Beach,Florida,Region 1,Old,2608,21603,828.34,18995,728.34,7.2834
130,131,Savannah,Georgia,Region 1,Old,2028,36029,1776.58,34001,1676.58,16.7658
131,132,West Jordan,Utah,Region 2,Old,2773,21056,759.32,18283,659.32,6.5932
132,133,Des Moines,Iowa,Region 1,Old,2995,57432,1917.6,54437,1817.6,18.176
133,134,Green Bay,Wisconsin,Region 1,Old,3586,18454,514.61,14868,414.61,4.146100000000001
134,135,Santa Rosa,California,Region 2,Old,3067,59060,1925.66,55993,1825.66,18.256600000000002
135,136,San Mateo,California,Region 2,Old,1811,19426,1072.67,17615,972.67,9.7267
136,137,Warren,Michigan,Region 1,Old,2736,47262,1727.41,44526,1627.41,16.2741
137,138,Norwalk,California,Region 2,Old,3112,19703,633.13,16591,533.13,5.3313
138,139,Lafayette,Louisiana,Region 1,Old,2603,40255,1546.48,37652,1446.48,14.4648
139,140,Providence,Rhode Island,Region 1,Old,3191,62337,1953.53,59146,1853.53,18.5353
140,141,Chattanooga,Tennessee,Region 2,New,3587,55357,1543.27,51770,1443.27,14.4327
141,142,Tempe,Arizona,Region 2,New,2911,48954,1681.69,46043,1581.69,15.8169
142,143,Joliet,Illinois,Region 1,New,3279,48315,1473.47,45036,1373.47,13.7347
143,144,Rancho Cucamonga,California,Region 2,New,2945,52366,1778.13,49421,1678.13,16.7813
144,145,Glendale,California,Region 2,New,2363,49376,2089.55,47013,1989.55,19.8955
145,146,Paterson,New Jersey,Region 1,New,2251,34603,1537.23,32352,1437.23,14.372300000000001
146,147,Brownsville,Texas,Region 2,New,3675,63148,1718.31,59473,1618.31,16.1831
147,148,Rockford,Illinois,Region 1,New,2648,43377,1638.1,40729,1538.1,15.380999999999998
148,149,College Station,Texas,Region 2,New,2994,22457,750.07,19463,650.07,6.5007
149,150,Thousand Oaks,California,Region 2,New,2431,40141,1651.21,37710,1551.21,15.5121
